index	status	reason	path	duplicate_of	extension	byte_sha256	content_kind	content_sha256	content_words
1	KEEP		/home/alice/alisonscorpion/website/desktop-os/readme.md		md	e3b313a0095e02367352f9e0240c4f6e703bef9f8867c3511cef95c07fee33dd	normalized-text-sha256	bbbd709f7432532712bbf2d329430476a058aef2734ccce7b3069ff8bcad5122	126
2	KEEP		/home/alice/alisonscorpion/website/desktop-os/threejs.md		md	3615d35898181d9eb01bd85d34b49d0d1995c6063e828e8d3e9cb15249d76c7b	normalized-text-sha256	cc1b23753382e068d6dc2ea11d2231e2aa82859711449652be2602604de280c4	191
